Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Miniband Standing Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Standing,No Arms,Hand Assisted,No Load,Continuous,Hip Abduction,,Frontal Plane,Lower Body,Other,Isolation,Bodybuilding
Miniband 3 Way Cha Cha,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Miniband,None,0,Standing,No Arms,No Grip,No Load,Continuous,Hip Abduction,Hip Extension,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Kettlebell ,1,Standing,Single Arm,Neutral,Suitcase,Continuous,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Cable Hip Abduction,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Cable,None,0,Standing,No Arms,Hand Assisted,Other,Continuous,Hip Abduction,,Frontal Plane,Lower Body,Other,Isolation,Unsorted*
Miniband Wall Sit Hip Abduction,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,Miniband,None,0,Wall Sit,No Arms,No Grip,No Load,Continuous,Hip Abduction,,Frontal Plane,Lower Body,Other,Compound,Unsorted*
Slider Barbell Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Barbell,1,Standing,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Other,Compound,Bodybuilding
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Half Kneeling,Single Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Barbell Shrug,,Video Explanation,Novice,Trapezius,Upper Trapezius,Levator Scapulae,Barbell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Scapular Elevation,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Cable Face Pull,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,None,0,Standing,Double Arm,Neutral,Other,Continuous,Shoulder External Rotation,,Sagittal Plane,Upper Body,Pull,Compound,Unsorted*
Cable Seated Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Shoulder External Rotation,,Sagittal Plane,Upper Body,Pull,Compound,Unsorted*
Cable Guillotine Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,None,0,Supine,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Cable Supine Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,None,0,Supine,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Cable Straight Bar High Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Dumbbell Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Incline),1,Prone,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
EZ Bar Spider Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,EZ Bar,Bench (Incline),1,Prone,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Stability Ball Cable Preacher Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Stability Ball,Cable,1,Prone,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Single Arm Dumbbell Standing Concentration Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Dumbbell,None,0,Standing,Single Arm,Supinated,Other,Continuous,Elbow Flexion,,Frontal Plane,Upper Body,Pull,Isolation,Bodybuilding
EZ Bar Wide Grip Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,EZ Bar,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Single Arm Cable Standing High Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,None,0,Standing,Single Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
EZ Bar Seated Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Anterior Deltoids,EZ Bar,Bench (Flat),1,Seated,Double Arm,Pronated,Overhead,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
EZ Bar Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,EZ Bar,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Barbell Thruster,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Barbell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,Vertical Push,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Bodyweight Diamond Push Up,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Pectoralis Major,Bodyweight,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Calisthenics
EZ Bar Lying Tricep Extension ,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,,EZ Bar,Bench (Flat),1,Supine,Double Arm,Pronated,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Cable Rope Overhead Tricep Extension,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,Anterior Deltoids,Cable,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Single Arm Cable Reverse Grip Tricep Pushdown,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii ,,Cable,None,0,Standing,Single Arm,Pronated,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
EZ Bar Reverse Grip Bicep Curl,Video Demonstration,Video Explanation,Novice,Forearms,Brachioradialis,Biceps Brachii,EZ Bar,None,0,Standing,Double Arm,Pronated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Stability Ball Single Arm Dumbbell Chest Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Stability Ball,Dumbbell,1,Supine,Single Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Suspension Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Suspension Trainer,None,0,Standing,Double Arm,Pronated,No Load,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Pull,Compound,Unsorted*
Landmine V Grip Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Landmine,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Double Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,Vertical Push,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,Vertical Push,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Single Arm Landmine Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Landmine,None,0,Standing,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Superband Assisted Bar Pull Up,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Superband,Pull Up Bar,1,Hanging,Double Arm,Pronated,No Load,Continuous,Vertical Pull,,Sagittal Plane,Upper Body,Pull,Compound,Calisthenics
Stability Ball Prone Cobra,Video Demonstration,Video Explanation,Novice,Back,Erector Spinae ,,Stability Ball,None,0,Prone,Double Arm,No Grip,No Load,Continuous,Spinal Extension,,Sagittal Plane,Upper Body,Unsorted*,Isolation,Postural
Single Arm Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,Dumbbell,None,0,Walking,Single Arm,Neutral,Overhead,Alternating,Loaded Carry,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Double Dumbbell Pendlay Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Dumbbell,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Cable Straight Bar Pullover,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Cable,None,0,Standing,Double Arm,Pronated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Single Arm Cable Half Kneeling Lat Pulldown,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Cable,None,0,Half Kneeling,Single Arm,Neutral,Overhead,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Cable Half Kneeling Low Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Cable,None,0,Half Kneeling,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Suspension Low Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Biceps Brachii,Suspension Trainer,None,0,Standing,Single Arm,Neutral,No Load,Continuous,Horizontal Pull,Anti-Rotational,Sagittal Plane,Upper Body,Pull,Compound,Unsorted*
Double Dumbbell Incline Bench Prone Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Dumbbell,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Barbell Pendlay Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Barbell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Barbell Bench Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Barbell,Bench (Flat),1,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Powerlifting
Cable Single Leg Standing Bent Knee Hip External Rotation,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Cable,None,0,Single Leg Standing Bent Knee,No Arms,Hand Assisted,Other,Continuous,Hip External Rotation,,Transverse Plane,Lower Body,Other,Isolation,Unsorted*
Cable Hip Rotation,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Cable,None,0,Standing,No Arms,Neutral,Other,Continuous,Hip External Rotation,,Transverse Plane,Lower Body,Other,Isolation,Unsorted*
Barbell Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Barbell,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Barbell Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Barbell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Barbell Push Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Barbell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Barbell Bent Over Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Rhomboids,Barbell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Landmine Meadows Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Landmine,None,0,Standing,Single Arm,Pronated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Cable Straight Bar Seated Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,Bench (Flat),1,Seated,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Cable Rope Skull Crusher,Video Demonstration,,Novice,Triceps,Triceps Brachii,Anconeus,Cable,Bench (Flat),1,Supine,Double Arm,Neutral,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Single Arm Dumbbell Seated Cuban Press,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Bench (Flat),1,Seated,Single Arm,Pronated,Overhead,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Push & Pull,Compound,Unsorted*
Bodyweight Wall Facing Handstand,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Bodyweight,None,0,Inverted,Double Arm,Flat Palm,No Load,Continuous,Isometric Hold,,Sagittal Plane,Upper Body,Other,Compound,Calisthenics
Parallette Close Grip Push Up,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Pectoralis Major,Parallette Bars,None,0,Prone,Double Arm,Pronated,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Calisthenics
Parallette Wide Push Up,Video Demonstration,,Novice,Chest,Pectoralis Major,,Parallette Bars,None,0,Prone,Double Arm,Neutral,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Calisthenics
Barbell Front Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Barbell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Shoulder Flexion,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Single Arm Cable Front Raise,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Cable,None,0,Standing,Single Arm,Pronated,Other,Continuous,Shoulder Flexion,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Parallette Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Parallette Bars,None,0,Side Plank,Single Arm,Neutral,No Load,Continuous,Anti-Lateral Flexion,,Frontal Plane,Core,Other,Compound,Calisthenics
Cable Straight Bar Front Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Cable,None,0,Standing,Double Arm,Pronated,Other,Continuous,Shoulder Flexion,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Barbell Close Grip Bench Press,Video Demonstration,Video Explanation,Novice,Triceps,Triceps Brachii,Pectoralis Major,Barbell,Bench (Flat),1,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Cable Bicep Curl,Video Demonstration,,Novice,Biceps,Biceps Brachii,Brachialis,Cable,None,0,Standing,Single Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Single Arm Cable Shotgun Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Biceps Brachii,Cable,None,0,Staggered Stance,Single Arm,Pronated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Cable Half Kneeling Face Pull,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,None,0,Half Kneeling,Double Arm,Neutral,Other,Continuous,Shoulder External Rotation,,Sagittal Plane,Upper Body,Pull,Compound,Unsorted*
Stability Ball Double Dumbbell W Raise,,Video Explanation,Novice,Shoulders,Posterior Deltoids,,Stability Ball,Dumbbell,2,Prone,Double Arm,Pronated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Isolation,Unsorted*
Single Arm Kettlebell Bent Over Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Rhomboids,Kettlebell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Horizontal Pull,Anti-Rotational ,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Double Kettlebell Gorilla Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Kettlebell,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Kettlebell Alternating Halo,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,Kettlebell,None,0,Standing,Double Arm,Bottoms Up Horn Grip,Other,Continuous,Rotational,,Transverse Plane,Upper Body,Pull,Compound,Mobility
Single Arm Kettlebell Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Kettlebell Horn Grip Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Kettlebell,None,0,Standing,Double Arm,Horn Grip,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Dumbbell Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Dumbbell,Bench (Flat),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Double Kettlebell Z Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Seated Floor,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Kettlebell Push Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Barbell Prone Row,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,,Barbell,Bench (Flat),1,Prone,Double Arm,Pronated,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Dumbbell Cuban Press,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Shoulder External Rotation,,Transverse Plane,Upper Body,Push & Pull,Compound,Unsorted*
Single Arm Kettlebell Push Jerk,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Unsorted*
Barbell Incline Bench Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Barbell,Bench (Incline),1,Seated,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Kettlebell Tall Kneeling Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Tall Kneeling,Double Arm,Pronated,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Incline Bench Prone Y Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,,Dumbbell,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Unsorted*,,Frontal Plane,Upper Body,Pull,Pull,Postural
Suspension Face Pull to Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Suspension Trainer,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Shoulder External Rotation,Vertical Push,Transverse Plane,Upper Body,Push & Pull,Compound,Unsorted*
